algorithm,N,seed,final_PTNR,final_gain,final_null,final_SLL,runtime,TTT_30dB,TTT_40dB,TTT_50dB
Strain-Guided Pipeline,16,0,39.994863863486025,15.68862854214586,-24.306235321340164,9.849231033002008,1.516777515411377,31,50,50
Strain-Guided Pipeline,16,1,44.740401835981785,-0.3357614967937512,-45.076163332775536,4.1140758725352295,1.510850191116333,28,37,50
SA,16,0,13.850765323506549,9.451868788981093,-4.398896534525456,11.3512249829715,1.5048904418945312,50,50,50
SA,16,1,28.23840142376529,15.8389397883589,-12.399461635406388,14.760897183267758,1.499495029449463,50,50,50
GA,16,0,6.42236337569412,-14.643523181287284,-21.065886556981404,-1.2928805849220932,1.4989793300628662,50,50,50
GA,16,1,4.013749125274213,-15.837240146964966,-19.85098927223918,-1.5009675828749427,1.5325453281402588,50,50,50
PSO,16,0,29.33526141061331,-7.12750149218757,-23.459014194370912,1.6360972801177078,1.544339895248413,50,50,50
PSO,16,1,24.463613036140497,-3.8155020172646044,-8.869876229472542,2.579666696770408,1.5198538303375244,50,50,50
AP-Only,16,0,17.173232926921628,18.071920604490803,0.8986876775691742,8.750027293077824,0.0673675537109375,50,50,50
AP-Only,16,1,17.173232926921628,18.071920604490803,0.8986876775691742,8.750027293077824,0.06571650505065918,50,50,50
PGD-Baseline,16,0,37.04308803060971,4.621423045218258,-32.42166498539145,5.280595146494412,0.7508193254470825,48,50,50
PGD-Baseline,16,1,37.04308803060971,4.621423045218258,-32.42166498539145,5.280595146494412,0.7516864538192749,48,50,50
Strain-Guided Pipeline,64,0,42.23213494509584,31.716963270396743,-10.51517167469909,23.638670474570226,1.7555763721466064,1,44,50
Strain-Guided Pipeline,64,1,26.70662824263296,26.599508523660717,-0.10711971897224437,19.527784201002618,1.7671687602996826,5,50,50
SA,64,0,22.402066095607275,25.771906649876556,3.3698405542692824,23.10393719605574,1.763559103012085,1,50,50
SA,64,1,34.371081888837885,18.91419465922567,-15.456887229612216,17.864304995582877,1.7802681922912598,34,50,50
GA,64,0,13.528755180860507,-14.979390265149853,-28.50814544601036,10.29255954778787,1.7780749797821045,50,50,50
GA,64,1,10.656617057854138,-15.670355724154884,-26.326972782009022,10.150562402541166,1.7792105674743652,50,50,50
PSO,64,0,28.705844048146144,0.1618898761507576,-11.083098071008648,12.877086725090015,1.769425392150879,50,50,50
PSO,64,1,28.705844048146144,-8.241886640049124,-18.85033261775503,11.014994708217298,1.7759571075439453,50,50,50
AP-Only,64,0,22.63504865577072,31.98256652261701,9.347517866846289,19.8535284065318,0.15529179573059082,50,50,50
AP-Only,64,1,22.63504865577072,31.98256652261701,9.347517866846289,19.8535284065318,0.15346145629882812,50,50,50
PGD-Baseline,64,0,24.472379635193448,31.134540368409045,6.662160733215596,19.414565995466717,3.5167322158813477,50,50,50
PGD-Baseline,64,1,24.472379635193448,31.134540368409045,6.662160733215596,19.414565995466717,3.489081382751465,50,50,50
Strain-Guided Pipeline,256,0,32.31948787863759,8.604348788459541,-23.715139090178045,19.532768038253824,3.1968917846679688,44,50,50
Strain-Guided Pipeline,256,1,21.424660067901886,7.373195944223221,-14.051464123678665,19.762575971050882,2.836345911026001,50,50,50
SA,256,0,65.3967335891561,10.212792691708696,-55.18394089744741,26.330757193914316,2.8304362297058105,21,23,23
SA,256,1,10.927633956784527,10.984014563442678,0.056380606658150846,20.525034129392978,2.831826686859131,50,50,50
GA,256,0,17.622336866093086,-16.540048066816816,-34.1623849329099,22.12104979330004,2.8371424674987793,50,50,50
GA,256,1,7.539745091941567,-13.368156720721968,-20.907901812663535,22.211442417909172,2.864703893661499,50,50,50
PSO,256,0,20.46071437248613,10.282608397996782,-8.417391629680063,23.67145319679773,2.8483681678771973,50,50,50
PSO,256,1,12.111549381655934,6.268662221062799,-2.740667997480262,22.596156291221085,2.8594038486480713,50,50,50
AP-Only,256,0,-3.9636015795315704,-0.11158758534445673,3.852013994187114,22.963787330135183,0.48655223846435547,50,50,50
AP-Only,256,1,-3.9636015795315704,-0.11158758534445673,3.852013994187114,22.963787330135183,0.48212313652038574,50,50,50
PGD-Baseline,256,0,2.57537940505006,7.190406213990345,4.615026808940285,22.909295386854964,22.281705856323242,50,50,50
PGD-Baseline,256,1,2.57537940505006,7.190406213990345,4.615026808940285,22.909295386854964,22.5438232421875,50,50,50
