algorithm,seed,final_PTNR,final_gain,final_null,offset_changes,TTT_20dB,TTT_30dB,TTT_40dB,TTT_50dB
Fixed (Baseline),0,22.61137271359641,31.38175649057886,8.77038377698245,0,1,150,150,150
Fixed (Baseline),1,22.61137271359641,31.38175649057886,8.77038377698245,0,1,150,150,150
Fixed (Baseline),2,22.61137271359641,31.38175649057886,8.77038377698245,0,1,150,150,150
Fixed (Baseline),3,22.61137271359641,31.38175649057886,8.77038377698245,0,1,150,150,150
Fixed (Baseline),4,22.61137271359641,31.38175649057886,8.77038377698245,0,1,150,150,150
One-Shot SA + Freeze,0,37.149769003579706,31.62681191221729,-5.522957091362417,3,1,1,150,150
One-Shot SA + Freeze,1,14.84368495464143,26.0426436966467,11.198958742005269,8,1,1,150,150
One-Shot SA + Freeze,2,24.414080836131163,14.541104299163287,-9.872976536967874,9,1,150,150,150
One-Shot SA + Freeze,3,20.680509077034497,28.431703379140295,7.751194302105799,6,1,150,150,150
One-Shot SA + Freeze,4,32.30487978028524,32.12556308771902,-0.17931669256621893,4,1,4,150,150
Cont SA (Hard Reset),0,46.222360606377855,28.567520345082794,-17.65484026129506,17,1,4,28,150
Cont SA (Hard Reset),1,20.097425651429447,26.26796675459467,6.170541103165223,36,1,150,150,150
Cont SA (Hard Reset),2,30.829013388987597,30.149216297489403,-0.6797970914981958,24,1,143,150,150
Cont SA (Hard Reset),3,25.603026271208208,27.852161573583814,2.2491353023756044,12,1,150,150,150
Cont SA (Hard Reset),4,32.4859689007093,32.82309146601204,0.3371225653027347,3,1,5,150,150
Cont SA (No Reset),0,30.241324511535765,32.23033676878146,1.9890122572456956,4,1,5,150,150
Cont SA (No Reset),1,23.498294760503573,23.778638971109327,0.28034421060575604,44,1,150,150,150
Cont SA (No Reset),2,31.36135979742249,26.06128400454377,-5.300075792878722,25,1,82,150,150
Cont SA (No Reset),3,26.273291025160887,29.237686168490107,2.96439514332922,34,1,7,150,150
Cont SA (No Reset),4,32.31410941544333,32.83983733384153,0.5257279183981977,3,1,5,150,150
Cont SA (Smart Reset),0,30.241324511535765,32.23033676878146,1.9890122572456956,4,1,5,150,150
Cont SA (Smart Reset),1,23.498294760503573,23.778638971109327,0.28034421060575604,44,1,150,150,150
Cont SA (Smart Reset),2,31.36135979742249,26.06128400454377,-5.300075792878722,25,1,82,150,150
Cont SA (Smart Reset),3,26.273291025160887,29.237686168490107,2.96439514332922,34,1,7,150,150
Cont SA (Smart Reset),4,32.31410941544333,32.83983733384153,0.5257279183981977,3,1,5,150,150
CROA,0,11.905688782570898,11.242982653108417,-0.662706129462482,84,1,7,150,150
CROA,1,25.697108884434765,24.512284050162098,-1.1848248342726673,95,1,1,150,150
CROA,2,8.912033175456635,11.618854318926042,2.706821143469407,115,1,150,150,150
CROA,3,21.44467181746888,24.90865853044721,3.4639867129783277,76,1,1,150,150
CROA,4,19.61496083515888,17.129369468468813,-2.4855913666900658,84,1,150,150,150
